timestamp,machine,load,temp,fan_speed,power
2026-05-24T12:00:00.000Z,marseille-marseille-zone-01-master-01,12.0,24.33,20.0,171.6
2026-05-24T12:00:00.000Z,marseille-marseille-zone-01-master-02,12.0,24.23,20.0,171.6
2026-05-24T12:00:00.000Z,marseille-marseille-zone-01-worker-01,92.0,80.72,15.0,432.6
2026-05-24T12:00:00.000Z,marseille-marseille-zone-01-worker-02,92.0,64.34,20.0,435.6
2026-05-24T12:00:00.000Z,marseille-marseille-zone-01-worker-03,92.0,64.38,20.0,435.6
2026-05-24T12:00:00.000Z,marseille-marseille-zone-01-worker-04,92.0,64.31,20.0,435.6
2026-05-24T12:00:00.000Z,marseille-marseille-zone-01-worker-05,92.0,64.45,20.0,435.6
2026-05-24T12:00:00.000Z,marseille-marseille-zone-01-worker-06,92.0,64.42,20.0,435.6
2026-05-24T12:00:00.000Z,marseille-marseille-zone-01-worker-07,92.0,64.3,20.0,435.6
2026-05-24T12:00:00.000Z,marseille-marseille-zone-01-worker-08,92.0,64.43,20.0,435.6
2026-05-24T13:00:00.000Z,marseille-marseille-zone-01-master-01,12.0,24.24,20.0,171.6
2026-05-24T13:00:00.000Z,marseille-marseille-zone-01-master-02,12.0,24.24,20.0,171.6
2026-05-24T13:00:00.000Z,marseille-marseille-zone-01-worker-01,40.0,54.12,15.0,261.0
2026-05-24T13:00:00.000Z,marseille-marseille-zone-01-worker-02,40.0,38.39,20.0,264.0
2026-05-24T13:00:00.000Z,marseille-marseille-zone-01-worker-03,40.0,38.46,20.0,264.0
2026-05-24T13:00:00.000Z,marseille-marseille-zone-01-worker-04,40.0,38.22,20.0,264.0
2026-05-24T13:00:00.000Z,marseille-marseille-zone-01-worker-05,40.0,38.45,20.0,264.0
2026-05-24T13:00:00.000Z,marseille-marseille-zone-01-worker-06,40.0,38.34,20.0,264.0
2026-05-24T13:00:00.000Z,marseille-marseille-zone-01-worker-07,40.0,38.44,20.0,264.0
2026-05-24T13:00:00.000Z,marseille-marseille-zone-01-worker-08,40.0,38.47,20.0,264.0
2026-05-24T14:00:00.000Z,marseille-marseille-zone-01-master-01,12.0,24.36,20.0,171.6
2026-05-24T14:00:00.000Z,marseille-marseille-zone-01-master-02,12.0,24.26,20.0,171.6
2026-05-24T14:00:00.000Z,marseille-marseille-zone-01-worker-01,40.0,54.36,15.0,261.0
2026-05-24T14:00:00.000Z,marseille-marseille-zone-01-worker-02,40.0,38.37,20.0,264.0
2026-05-24T14:00:00.000Z,marseille-marseille-zone-01-worker-03,40.0,38.48,20.0,264.0
2026-05-24T14:00:00.000Z,marseille-marseille-zone-01-worker-04,40.0,38.49,20.0,264.0
2026-05-24T14:00:00.000Z,marseille-marseille-zone-01-worker-05,40.0,38.41,20.0,264.0
2026-05-24T14:00:00.000Z,marseille-marseille-zone-01-worker-06,40.0,38.34,20.0,264.0
2026-05-24T14:00:00.000Z,marseille-marseille-zone-01-worker-07,40.0,38.48,20.0,264.0
2026-05-24T14:00:00.000Z,marseille-marseille-zone-01-worker-08,40.0,38.4,20.0,264.0
2026-05-24T15:00:00.000Z,marseille-marseille-zone-01-master-01,12.0,24.44,20.0,171.6
2026-05-24T15:00:00.000Z,marseille-marseille-zone-01-master-02,12.0,24.32,20.0,171.6
2026-05-24T15:00:00.000Z,marseille-marseille-zone-01-worker-01,40.0,54.35,15.0,261.0
2026-05-24T15:00:00.000Z,marseille-marseille-zone-01-worker-02,40.0,38.41,20.0,264.0
2026-05-24T15:00:00.000Z,marseille-marseille-zone-01-worker-03,40.0,38.43,20.0,264.0
2026-05-24T15:00:00.000Z,marseille-marseille-zone-01-worker-04,40.0,38.42,20.0,264.0
2026-05-24T15:00:00.000Z,marseille-marseille-zone-01-worker-05,40.0,38.31,20.0,264.0
2026-05-24T15:00:00.000Z,marseille-marseille-zone-01-worker-06,40.0,38.2,20.0,264.0
2026-05-24T15:00:00.000Z,marseille-marseille-zone-01-worker-07,40.0,38.46,20.0,264.0
2026-05-24T15:00:00.000Z,marseille-marseille-zone-01-worker-08,40.0,38.34,20.0,264.0
2026-05-24T16:00:00.000Z,marseille-marseille-zone-01-master-01,12.0,24.38,20.0,171.6
2026-05-24T16:00:00.000Z,marseille-marseille-zone-01-master-02,12.0,24.42,20.0,171.6
2026-05-24T16:00:00.000Z,marseille-marseille-zone-01-worker-01,40.0,54.29,15.0,261.0
2026-05-24T16:00:00.000Z,marseille-marseille-zone-01-worker-02,40.0,38.23,20.0,264.0
2026-05-24T16:00:00.000Z,marseille-marseille-zone-01-worker-03,40.0,38.48,20.0,264.0
2026-05-24T16:00:00.000Z,marseille-marseille-zone-01-worker-04,40.0,38.34,20.0,264.0
2026-05-24T16:00:00.000Z,marseille-marseille-zone-01-worker-05,40.0,38.21,20.0,264.0
2026-05-24T16:00:00.000Z,marseille-marseille-zone-01-worker-06,40.0,38.27,20.0,264.0
2026-05-24T16:00:00.000Z,marseille-marseille-zone-01-worker-07,40.0,38.35,20.0,264.0
2026-05-24T16:00:00.000Z,marseille-marseille-zone-01-worker-08,40.0,38.41,20.0,264.0
2026-05-24T17:00:00.000Z,marseille-marseille-zone-01-master-01,12.0,24.31,20.0,171.6
2026-05-24T17:00:00.000Z,marseille-marseille-zone-01-master-02,12.0,24.39,20.0,171.6
2026-05-24T17:00:00.000Z,marseille-marseille-zone-01-worker-01,40.0,54.1,15.0,261.0
2026-05-24T17:00:00.000Z,marseille-marseille-zone-01-worker-02,40.0,38.37,20.0,264.0
2026-05-24T17:00:00.000Z,marseille-marseille-zone-01-worker-03,40.0,38.41,20.0,264.0
2026-05-24T17:00:00.000Z,marseille-marseille-zone-01-worker-04,40.0,38.3,20.0,264.0
2026-05-24T17:00:00.000Z,marseille-marseille-zone-01-worker-05,40.0,38.4,20.0,264.0
2026-05-24T17:00:00.000Z,marseille-marseille-zone-01-worker-06,40.0,38.32,20.0,264.0
2026-05-24T17:00:00.000Z,marseille-marseille-zone-01-worker-07,40.0,38.43,20.0,264.0
2026-05-24T17:00:00.000Z,marseille-marseille-zone-01-worker-08,40.0,38.48,20.0,264.0
2026-05-24T18:00:00.000Z,marseille-marseille-zone-01-master-01,12.0,24.28,20.0,171.6
2026-05-24T18:00:00.000Z,marseille-marseille-zone-01-master-02,12.0,24.48,20.0,171.6
2026-05-24T18:00:00.000Z,marseille-marseille-zone-01-worker-01,40.0,54.08,15.0,261.0
2026-05-24T18:00:00.000Z,marseille-marseille-zone-01-worker-02,40.0,38.31,20.0,264.0
2026-05-24T18:00:00.000Z,marseille-marseille-zone-01-worker-03,40.0,38.43,20.0,264.0
2026-05-24T18:00:00.000Z,marseille-marseille-zone-01-worker-04,40.0,38.21,20.0,264.0
2026-05-24T18:00:00.000Z,marseille-marseille-zone-01-worker-05,40.0,38.36,20.0,264.0
2026-05-24T18:00:00.000Z,marseille-marseille-zone-01-worker-06,40.0,38.29,20.0,264.0
2026-05-24T18:00:00.000Z,marseille-marseille-zone-01-worker-07,40.0,38.37,20.0,264.0
2026-05-24T18:00:00.000Z,marseille-marseille-zone-01-worker-08,40.0,38.31,20.0,264.0
2026-05-24T19:00:00.000Z,marseille-marseille-zone-01-master-01,12.0,24.45,20.0,171.6
2026-05-24T19:00:00.000Z,marseille-marseille-zone-01-master-02,12.0,24.42,20.0,171.6
2026-05-24T19:00:00.000Z,marseille-marseille-zone-01-worker-01,40.0,54.26,15.0,261.0
2026-05-24T19:00:00.000Z,marseille-marseille-zone-01-worker-02,40.0,38.36,20.0,264.0
2026-05-24T19:00:00.000Z,marseille-marseille-zone-01-worker-03,40.0,38.23,20.0,264.0
2026-05-24T19:00:00.000Z,marseille-marseille-zone-01-worker-04,40.0,38.38,20.0,264.0
2026-05-24T19:00:00.000Z,marseille-marseille-zone-01-worker-05,40.0,38.23,20.0,264.0
2026-05-24T19:00:00.000Z,marseille-marseille-zone-01-worker-06,40.0,38.25,20.0,264.0
2026-05-24T19:00:00.000Z,marseille-marseille-zone-01-worker-07,40.0,38.32,20.0,264.0
2026-05-24T19:00:00.000Z,marseille-marseille-zone-01-worker-08,40.0,38.31,20.0,264.0
2026-05-24T20:00:00.000Z,marseille-marseille-zone-01-master-01,12.0,24.21,20.0,171.6
2026-05-24T20:00:00.000Z,marseille-marseille-zone-01-master-02,12.0,24.38,20.0,171.6
2026-05-24T20:00:00.000Z,marseille-marseille-zone-01-worker-01,40.0,54.13,15.0,261.0
2026-05-24T20:00:00.000Z,marseille-marseille-zone-01-worker-02,40.0,38.21,20.0,264.0
2026-05-24T20:00:00.000Z,marseille-marseille-zone-01-worker-03,40.0,38.46,20.0,264.0
2026-05-24T20:00:00.000Z,marseille-marseille-zone-01-worker-04,40.0,38.32,20.0,264.0
2026-05-24T20:00:00.000Z,marseille-marseille-zone-01-worker-05,40.0,38.29,20.0,264.0
2026-05-24T20:00:00.000Z,marseille-marseille-zone-01-worker-06,40.0,38.23,20.0,264.0
2026-05-24T20:00:00.000Z,marseille-marseille-zone-01-worker-07,40.0,38.29,20.0,264.0
2026-05-24T20:00:00.000Z,marseille-marseille-zone-01-worker-08,40.0,38.39,20.0,264.0
2026-05-24T21:00:00.000Z,marseille-marseille-zone-01-master-01,12.0,24.22,20.0,171.6
2026-05-24T21:00:00.000Z,marseille-marseille-zone-01-master-02,12.0,24.25,20.0,171.6
2026-05-24T21:00:00.000Z,marseille-marseille-zone-01-worker-01,40.0,54.21,15.0,261.0
2026-05-24T21:00:00.000Z,marseille-marseille-zone-01-worker-02,40.0,38.28,20.0,264.0
2026-05-24T21:00:00.000Z,marseille-marseille-zone-01-worker-03,40.0,38.24,20.0,264.0
2026-05-24T21:00:00.000Z,marseille-marseille-zone-01-worker-04,40.0,38.25,20.0,264.0
2026-05-24T21:00:00.000Z,marseille-marseille-zone-01-worker-05,40.0,38.34,20.0,264.0
2026-05-24T21:00:00.000Z,marseille-marseille-zone-01-worker-06,40.0,38.29,20.0,264.0
2026-05-24T21:00:00.000Z,marseille-marseille-zone-01-worker-07,40.0,38.35,20.0,264.0
2026-05-24T21:00:00.000Z,marseille-marseille-zone-01-worker-08,40.0,38.32,20.0,264.0
2026-05-24T22:00:00.000Z,marseille-marseille-zone-01-master-01,12.0,24.32,20.0,171.6
2026-05-24T22:00:00.000Z,marseille-marseille-zone-01-master-02,12.0,24.34,20.0,171.6
2026-05-24T22:00:00.000Z,marseille-marseille-zone-01-worker-01,40.0,54.08,15.0,261.0
2026-05-24T22:00:00.000Z,marseille-marseille-zone-01-worker-02,40.0,38.35,20.0,264.0
2026-05-24T22:00:00.000Z,marseille-marseille-zone-01-worker-03,40.0,38.22,20.0,264.0
2026-05-24T22:00:00.000Z,marseille-marseille-zone-01-worker-04,40.0,38.23,20.0,264.0
2026-05-24T22:00:00.000Z,marseille-marseille-zone-01-worker-05,40.0,38.21,20.0,264.0
2026-05-24T22:00:00.000Z,marseille-marseille-zone-01-worker-06,40.0,38.39,20.0,264.0
2026-05-24T22:00:00.000Z,marseille-marseille-zone-01-worker-07,40.0,38.27,20.0,264.0
2026-05-24T22:00:00.000Z,marseille-marseille-zone-01-worker-08,40.0,38.36,20.0,264.0
2026-05-24T23:00:00.000Z,marseille-marseille-zone-01-master-01,12.0,24.21,20.0,171.6
2026-05-24T23:00:00.000Z,marseille-marseille-zone-01-master-02,12.0,24.25,20.0,171.6
2026-05-24T23:00:00.000Z,marseille-marseille-zone-01-worker-01,40.0,54.35,15.0,261.0
2026-05-24T23:00:00.000Z,marseille-marseille-zone-01-worker-02,40.0,38.47,20.0,264.0
2026-05-24T23:00:00.000Z,marseille-marseille-zone-01-worker-03,40.0,38.43,20.0,264.0
2026-05-24T23:00:00.000Z,marseille-marseille-zone-01-worker-04,40.0,38.37,20.0,264.0
2026-05-24T23:00:00.000Z,marseille-marseille-zone-01-worker-05,40.0,38.42,20.0,264.0
2026-05-24T23:00:00.000Z,marseille-marseille-zone-01-worker-06,40.0,38.43,20.0,264.0
2026-05-24T23:00:00.000Z,marseille-marseille-zone-01-worker-07,40.0,38.27,20.0,264.0
2026-05-24T23:00:00.000Z,marseille-marseille-zone-01-worker-08,40.0,38.36,20.0,264.0
